,setting,PDR
1,22.23.22,96
2,22.23.22,93
3,22.23.22,94
4,22.23.22,97
5,22.23.22,95
6,22.23.22,96
7,22.23.22,96
8,22.23.22,95
9,22.23.22,97
10,22.23.22,97
11,22.23.22,98
12,22.23.22,96
13,22.23.22,96
14,22.23.22,95
15,22.23.22,95
16,22.23.22,96
17,22.23.22,96
18,22.23.22,97
19,22.23.22,95
20,22.23.22,98
21,22.23.22,95
22,22.23.22,95
23,22.23.22,96
24,22.23.22,94
25,22.23.22,97
26,22.23.22,95
27,22.23.22,95
28,22.23.22,96
29,22.23.22,94
30,22.23.22,94
31,22.23.22,95
32,22.23.22,92
33,22.23.22,91
34,22.23.22,95
35,22.23.22,93
36,22.23.22,94
37,22.23.22,97
38,22.23.22,96
39,22.23.22,98
40,22.23.22,95
41,22.23.22,96
42,22.23.22,94
43,22.23.22,95
44,22.23.22,96
45,22.23.22,96
46,22.23.22,95
47,22.23.22,95
48,22.23.22,95
49,22.23.22,94
50,22.23.22,92
51,22.23.22,97
52,22.23.22,91
53,22.23.22,94
54,22.23.22,95
55,22.23.22,95
56,22.23.22,97
57,22.23.22,93
58,22.23.22,96
59,22.23.22,95
60,22.23.22,94
61,22.23.22,95
62,22.23.22,94
63,22.23.22,97
64,22.23.22,96
65,22.23.22,93
66,22.23.22,93
67,22.23.22,95
68,22.23.22,96
69,22.23.22,97
70,22.23.22,94
71,22.23.22,95
72,22.23.22,95
73,22.23.22,96
74,22.23.22,95
75,22.23.22,94
76,22.23.22,95
77,22.23.22,93
78,22.23.22,94
79,22.23.22,97
80,22.23.22,90
81,22.23.22,95
82,22.23.22,95
83,22.23.22,96
84,22.23.22,92
85,22.23.22,95
86,22.23.22,95
87,22.23.22,96
88,22.23.22,96
89,22.23.22,96
90,22.23.22,97
91,22.23.22,97
92,22.23.22,94
93,22.23.22,96
94,22.23.22,96
95,22.23.22,95
96,22.23.22,95
97,22.23.22,96
98,22.23.22,94
99,22.23.22,93
100,22.23.22,97
101,22.23.22,94
102,22.23.22,93
103,22.23.22,90
104,22.23.22,97
105,22.23.22,95
106,22.23.22,94
107,22.23.22,96
108,22.23.22,97
109,22.23.22,93
110,22.23.22,94
111,22.23.22,97
112,22.23.22,98
113,22.23.22,96
114,22.23.22,94
115,22.23.22,95
116,22.23.22,97
117,22.23.22,97
118,22.23.22,96
119,22.23.22,94
120,22.23.22,97
121,22.23.22,93
122,22.23.22,95
123,22.23.22,94
124,22.23.22,97
125,22.23.22,94
126,22.23.22,92
127,22.23.22,90
128,22.23.22,91
129,22.23.22,97
130,22.23.22,93
131,22.23.22,93
132,22.23.22,96
133,22.23.22,93
134,22.23.22,94
135,22.23.22,93
136,22.23.22,95
137,22.23.22,93
138,22.23.22,94
139,22.23.22,96
140,22.23.22,94
141,22.23.22,96
142,22.23.22,96
143,22.23.22,93
144,22.23.22,94
145,22.23.22,96
