,setting,PDR
1,22.23.22,93
2,22.23.22,95
3,22.23.22,95
4,22.23.22,96
5,22.23.22,92
6,22.23.22,95
7,22.23.22,94
8,22.23.22,95
9,22.23.22,96
10,22.23.22,94
11,22.23.22,95
12,22.23.22,96
13,22.23.22,93
14,22.23.22,96
15,22.23.22,89
16,22.23.22,94
17,22.23.22,95
18,22.23.22,94
19,22.23.22,93
20,22.23.22,97
21,22.23.22,93
22,22.23.22,93
23,22.23.22,98
24,22.23.22,92
25,22.23.22,89
26,22.23.22,96
27,22.23.22,93
28,22.23.22,90
29,22.23.22,93
30,22.23.22,94
31,22.23.22,91
32,22.23.22,92
33,22.23.22,93
34,22.23.22,95
35,22.23.22,95
36,22.23.22,94
37,22.23.22,95
38,22.23.22,94
39,22.23.22,93
40,22.23.22,96
41,22.23.22,96
42,22.23.22,97
43,22.23.22,97
44,22.23.22,94
45,22.23.22,98
46,22.23.22,94
47,22.23.22,98
48,22.23.22,95
49,22.23.22,96
50,22.23.22,94
51,22.23.22,96
52,22.23.22,95
53,22.23.22,96
54,22.23.22,95
55,22.23.22,96
56,22.23.22,97
57,22.23.22,93
58,22.23.22,92
59,22.23.22,94
60,22.23.22,92
61,22.23.22,96
62,22.23.22,97
63,22.23.22,93
64,22.23.22,96
65,22.23.22,94
66,22.23.22,91
67,22.23.22,94
68,22.23.22,96
69,22.23.22,96
70,22.23.22,91
71,22.23.22,97
72,22.23.22,96
73,22.23.22,96
74,22.23.22,93
75,22.23.22,94
76,22.23.22,96
77,22.23.22,97
78,22.23.22,96
79,22.23.22,97
80,22.23.22,95
81,22.23.22,96
82,22.23.22,97
83,22.23.22,93
84,22.23.22,93
85,22.23.22,94
86,22.23.22,96
87,22.23.22,94
88,22.23.22,96
89,22.23.22,90
90,22.23.22,96
91,22.23.22,98
92,22.23.22,94
93,22.23.22,97
94,22.23.22,94
95,22.23.22,93
96,22.23.22,93
97,22.23.22,95
98,22.23.22,92
99,22.23.22,91
100,22.23.22,94
101,22.23.22,93
102,22.23.22,96
103,22.23.22,93
104,22.23.22,97
105,22.23.22,96
