,setting,PDR
1,22.23.22,96
2,22.23.22,96
3,22.23.22,95
4,22.23.22,94
5,22.23.22,97
6,22.23.22,94
7,22.23.22,97
8,22.23.22,96
9,22.23.22,96
10,22.23.22,97
11,22.23.22,96
12,22.23.22,96
13,22.23.22,98
14,22.23.22,97
15,22.23.22,96
16,22.23.22,97
17,22.23.22,94
18,22.23.22,98
19,22.23.22,98
20,22.23.22,96
21,22.23.22,95
22,22.23.22,97
23,22.23.22,97
24,22.23.22,98
25,22.23.22,99
26,22.23.22,95
27,22.23.22,96
28,22.23.22,97
29,22.23.22,95
30,22.23.22,94
31,22.23.22,98
32,22.23.22,95
33,22.23.22,95
34,22.23.22,99
35,22.23.22,96
36,22.23.22,93
37,22.23.22,96
38,22.23.22,96
39,22.23.22,97
40,22.23.22,97
41,22.23.22,95
42,22.23.22,96
43,22.23.22,97
44,22.23.22,96
45,22.23.22,97
46,22.23.22,97
47,22.23.22,97
48,22.23.22,96
49,22.23.22,97
50,22.23.22,97
51,22.23.22,97
52,22.23.22,93
53,22.23.22,97
54,22.23.22,95
55,22.23.22,93
56,22.23.22,96
57,22.23.22,96
58,22.23.22,94
59,22.23.22,95
60,22.23.22,96
61,22.23.22,94
62,22.23.22,97
63,22.23.22,93
64,22.23.22,93
65,22.23.22,95
66,22.23.22,96
67,22.23.22,95
68,22.23.22,97
69,22.23.22,95
70,22.23.22,96
71,22.23.22,94
72,22.23.22,93
73,22.23.22,94
74,22.23.22,95
75,22.23.22,97
76,22.23.22,97
77,22.23.22,96
78,22.23.22,97
79,22.23.22,97
80,22.23.22,96
81,22.23.22,96
82,22.23.22,96
83,22.23.22,96
84,22.23.22,98
85,22.23.22,97
86,22.23.22,96
87,22.23.22,98
88,22.23.22,97
89,22.23.22,97
90,22.23.22,96
91,22.23.22,94
92,22.23.22,98
93,22.23.22,97
94,22.23.22,95
95,22.23.22,97
96,22.23.22,95
97,22.23.22,97
98,22.23.22,96
99,22.23.22,97
100,22.23.22,97
101,22.23.22,96
102,22.23.22,97
103,22.23.22,96
104,22.23.22,95
105,22.23.22,97
106,22.23.22,98
107,22.23.22,96
108,22.23.22,95
109,22.23.22,93
110,22.23.22,95
111,22.23.22,97
112,22.23.22,97
113,22.23.22,95
114,22.23.22,98
115,22.23.22,97
116,22.23.22,95
117,22.23.22,94
118,22.23.22,95
119,22.23.22,96
120,22.23.22,98
121,22.23.22,94
122,22.23.22,98
123,22.23.22,94
124,22.23.22,97
125,22.23.22,96
126,22.23.22,89
127,22.23.22,96
128,22.23.22,96
129,22.23.22,95
130,22.23.22,97
131,22.23.22,95
132,22.23.22,96
133,22.23.22,96
134,22.23.22,96
135,22.23.22,93
136,22.23.22,96
137,22.23.22,96
138,22.23.22,94
139,22.23.22,98
140,22.23.22,93
141,22.23.22,92
142,22.23.22,96
143,22.23.22,94
144,22.23.22,95
145,22.23.22,96
146,22.23.22,98
147,22.23.22,92
148,22.23.22,94
149,22.23.22,97
150,22.23.22,96
151,22.23.22,96
152,22.23.22,97
153,22.23.22,96
154,22.23.22,97
155,22.23.22,92
156,22.23.22,96
157,22.23.22,97
158,22.23.22,94
159,22.23.22,96
160,22.23.22,97
161,22.23.22,99
162,22.23.22,97
163,22.23.22,97
164,22.23.22,93
165,22.23.22,96
166,22.23.22,97
167,22.23.22,96
168,22.23.22,97
169,22.23.22,98
170,22.23.22,97
171,22.23.22,97
172,22.23.22,98
173,22.23.22,97
174,22.23.22,95
175,22.23.22,98
176,22.23.22,97
177,22.23.22,97
178,22.23.22,97
179,22.23.22,95
180,22.23.22,97
181,22.23.22,96
182,22.23.22,95
183,22.23.22,96
184,22.23.22,97
185,22.23.22,95
186,22.23.22,96
187,22.23.22,94
188,22.23.22,92
189,22.23.22,94
190,22.23.22,96
191,22.23.22,97
192,22.23.22,97
193,22.23.22,96
194,22.23.22,95
195,22.23.22,93
196,22.23.22,95
197,22.23.22,96
198,22.23.22,94
199,22.23.22,93
200,22.23.22,97
201,22.23.22,94
202,22.23.22,96
203,22.23.22,98
204,22.23.22,97
205,22.23.22,95
206,22.23.22,94
207,22.23.22,94
208,22.23.22,95
209,22.23.22,94
210,22.23.22,94
211,22.23.22,97
212,22.23.22,97
